Periode,dju,Territoire,Qualité,Conso,Conso_ajuste,Conso_ajuste_cvs
2012-01-01,366.325,France,Données définitives,51086,33356.85857116878,31132.006781115448
2012-02-01,471.95833333333326,France,Données définitives,54476,31634.49030182998,32565.79569459196
2012-03-01,235.76666666666668,France,Données définitives,43156,31745.529577458703,31115.424052478724
2012-04-01,231.4,France,Données définitives,40176,28976.86446016094,31489.737320536067
2012-05-01,91.77499999999999,France,Données définitives,35257,30815.337665649397,32451.578833089432
2012-06-01,36.19166666666666,France,Données définitives,33219,31467.42100080953,31090.1843035628
2012-07-01,19.416666666666668,France,Données définitives,34141,33201.28573149579,30703.18406538119
2012-08-01,5.633333333333333,France,Données définitives,32247,31974.36186888032,31926.074747916115
2012-09-01,59.541666666666664,France,Données définitives,33269,30387.34401353536,30671.938585324508
2012-10-01,148.91666666666663,France,Données définitives,38628,31420.835202502018,31597.964818882414
2012-11-01,279.0083333333334,France,Données définitives,44260,30756.74960352378,31542.270080605544
2012-12-01,351.4166666666667,France,Données définitives,49602,32594.381672608284,31846.63468803806
2013-01-01,425.4833333333333,France,Données définitives,53619,33026.75488356732,30823.920507974577
2013-02-01,404.28333333333325,France,Données définitives,49639,30072.777672869775,30958.106937063953
2013-03-01,353.62499999999994,France,Données définitives,49480,32365.504298722615,31723.09311992571
2013-04-01,218.87500000000003,France,Données définitives,40292,29699.04065997288,32274.540619819414
2013-05-01,168.82500000000002,France,Données définitives,36821,28650.325594151556,30171.60836269862
2013-06-01,48.35,France,Données définitives,32973,30632.99047817105,30265.75707335922
2013-07-01,2.966666666666667,France,Données définitives,34751,34607.42133923283,32003.520466036913
2013-08-01,7.2,France,Données définitives,31591,31242.539430048222,31195.357494506432
2013-09-01,44.98333333333334,France,Données définitives,33195,31017.928059491096,31308.42840562023
2013-10-01,103.18333333333334,France,Données définitives,37063,32069.205119047565,32249.98981059864
2013-11-01,306.9916666666667,France,Données définitives,45310,30452.43178651213,31230.18005489548
2013-12-01,371.35833333333335,France,Données définitives,50108,32135.25882087842,31398.044563432028
2014-01-01,330.37499999999994,France,Données définitives,49359,33369.74155585856,31144.030490298628
2014-02-01,287.7083333333333,France,Données définitives,44580,30655.69308149872,31558.183117319033
2014-03-01,253.25833333333333,France,Données définitives,43104,30846.98011411521,30234.709572166135
2014-04-01,152.775,France,Données définitives,36331,28937.102281335727,31446.526966696038
2014-05-01,109.21666666666668,France,Données définitives,34695,29409.20806737501,30970.78618356384
2014-06-01,21.59166666666667,France,Données définitives,32608,31563.02160098952,31184.638827784915
2014-07-01,9.008333333333335,France,Données définitives,33935,33499.02097671543,30978.517379598503
2014-08-01,25.258333333333336,France,Données définitives,31004,29781.564829254818,29736.58923195249
2014-09-01,25.05,France,Données définitives,33266,32053.64760037611,32353.84804267357
2014-10-01,89.61666666666666,France,Données définitives,36301,31963.79517446596,32143.985635375902
2014-11-01,217.31666666666663,France,Données définitives,40617,30099.459787960135,30868.19323077598
2014-12-01,373.98333333333335,France,Données définitives,49350,31250.215904750166,30533.305397146207
2015-01-01,395.92499999999995,France,Données définitives,52536,33374.29845025593,31148.28344676265
2015-02-01,375.9083333333333,France,Données définitives,48676,30483.05109958945,31380.45863187532
2015-03-01,284.275,France,Données définitives,45739,31980.857149577576,31346.080692805146
2015-04-01,162.5083333333333,France,Données définitives,36898,29033.03521454907,31550.779201144316
2015-05-01,94.39166666666667,France,Données définitives,33927,29358.698060365998,30917.59418248642
2015-06-01,23.924999999999997,France,Données définitives,33256,32098.094564431074,31713.297247196613
2015-07-01,10.716666666666667,France,Données définitives,34912,34393.34225352085,31805.548928840468
2015-08-01,8.508333333333333,France,Données définitives,31603,31191.21962740652,31144.115194131344
2015-09-01,71.64166666666667,France,Données définitives,33521,30053.736666810848,30335.2068181194
2015-10-01,176.09166666666667,France,Données définitives,39170,30647.63853744097,30820.4093890786
2015-11-01,212.71666666666667,France,Données définitives,41085,30790.087374318213,31576.459290578583
2015-12-01,264.5333333333333,France,Données définitives,44727,31924.300541031003,31191.925872787764
2016-01-01,351.375,France,Données définitives,50161,33155.39822683254,30943.98353568246
2016-02-01,320.05000000000007,France,Données définitives,46440,30950.44369262968,31861.611055982303
2016-03-01,317.9666666666667,France,Données définitives,47270,31881.27140384258,31248.47158848807
2016-04-01,217.525,France,Données définitives,39102,28574.377016838844,31052.346177596788
2016-05-01,100.98333333333333,France,Données définitives,34746,29858.679182088385,31444.123437582533
2016-06-01,28.033333333333335,France,Données définitives,32852,31495.262317919238,31117.691854314224
2016-07-01,10.125,France,Données définitives,33718,33227.977323505314,30727.867352320554
2016-08-01,6.558333333333334,France,Données définitives,32132,31814.594365101795,31766.548522221987
2016-09-01,17.033333333333335,France,Données définitives,33245,32420.632633123343,32724.270096708417
2016-10-01,179.45833333333334,France,Données définitives,38590,29904.700956120923,30073.283623455824
2016-11-01,285.1083333333333,France,Données définitives,44293,30494.526065092417,31273.34941189658
2016-12-01,400.7250000000001,France,Données définitives,50670,31275.9914036214,30558.48958087149
2017-01-01,479.825,France,Données définitives,57406,34183.764864290075,31903.759680744002
2017-02-01,284.59166666666664,France,Données définitives,43869,30095.531337473214,30981.530459482303
2017-03-01,221.53333333333333,France,Données définitives,42723,32001.384500465225,31366.200603735764
2017-04-01,204.04166666666666,France,Données définitives,36650,26774.933963808722,29096.855474277683
2017-05-01,81.84166666666665,France,Données définitives,35037,31076.084192712497,32726.170550053605
2017-06-01,13.458333333333336,France,Données définitives,33374,32722.652985564677,32330.368357691736
2017-07-01,4.958333333333333,France,Données définitives,33877,33637.0300473133,31106.142494225915
2017-08-01,11.083333333333334,France,Données définitives,32110,31573.59657634738,31525.914684104802
2017-09-01,68.34166666666667,France,Données définitives,33633,30325.447761372077,30609.46263993853
2017-10-01,109.96666666666668,France,Données définitives,36615,31292.910091338366,31469.31855165404
2017-11-01,301.3833333333334,France,Données définitives,44960,30373.859985097253,31149.601547319224
2017-12-01,381.13333333333327,France,Données définitives,51754,33308.1751998675,32544.053093873732
2018-01-01,308.45833333333337,France,Données définitives,48723,33794.44907781825,31540.41066577079
2018-02-01,417.5666666666666,France,Données définitives,50202,29992.900186176335,30875.877892516768
2018-03-01,315.62500000000006,France,Données définitives,48493,33217.60175124588,32558.277598565626
2018-04-01,131.84166666666667,France,Données définitives,36276,29895.219123602932,32487.731674225968
2018-05-01,73.53333333333333,France,Données définitives,33994,30435.185105029534,32051.240828573293
2018-06-01,11.391666666666667,France,Données définitives,32614,32062.67407508787,31678.301384594044
2018-07-01,0.25833333333333336,France,Données définitives,34602,34589.4973638096,31986.945110460274
2018-08-01,8.049999999999999,France,Données définitives,32451,32061.40172387336,32012.983156845483
2018-09-01,35.525,France,Données définitives,32683,30963.685868397653,31253.678205892007
2018-10-01,132.79166666666669,France,Données définitives,37102,30675.24168728985,30848.168146991753
2018-11-01,270.525,France,Données définitives,43738,30645.32004358271,31427.99463473003
2018-12-01,328.03333333333336,France,Données définitives,47553,31677.071903261854,30950.368901695634
2019-01-01,421.9583333333333,France,Données consolidées,54186,33764.35537093954,31512.324163421705
2019-02-01,285.89166666666665,France,Données consolidées,44356,30519.61484567637,31418.098798463627
2019-03-01,248.225,France,Données consolidées,43211,31197.579864405572,30578.350394927027
2019-04-01,189.21666666666667,France,Données consolidées,37875,28717.423956799707,31207.798144115306
2019-05-01,131.11666666666667,France,Données consolidées,35543,29197.30716710502,30747.633711748505
2019-06-01,30.833333333333332,France,Données consolidées,32514,31021.749874049103,30649.855956686184
2019-07-01,1.8749999999999998,France,Données consolidées,34543,34452.25505990839,31860.02907015046
2019-08-01,5.333333333333335,France,Données consolidées,31505,31246.88105929498,31199.692567100756
2019-09-01,33.858333333333334,France,Données consolidées,32248,30609.348037367974,30896.02180173377
2019-10-01,111.59166666666665,France,Données consolidées,36482,31081.264476592307,31256.479820738146
2019-11-01,288.55,France,Données consolidées,44180,30214.958686168706,30986.641944904382
2019-12-01,321.02500000000003,France,Données consolidées,47096,31559.256323782043,30835.256126802706
