Modèle,AIC,MAPE,RMSE,MSE,MAE
"(0, 0, 0)(0, 0, 0, 6)",625.515193993349,99.99678000977956,31169.93156155375,971564633.5519445,31130.83289350748
"(0, 0, 0)(0, 0, 0, 12)",625.515193993349,99.99678000977956,31169.93156155375,971564633.5519445,31130.83289350748
"(0, 0, 0)(0, 0, 1, 6)",497.30284239170453,99.71304979152644,31082.059128732508,966094399.6820238,31042.71765127695
"(0, 0, 0)(0, 0, 1, 12)",537.6777884571264,99.99686883802093,31169.959113444213,971566351.1337839,31130.86048000162
"(0, 0, 0)(0, 0, 2, 6)",461.32192421707185,99.77691392126692,31101.816469418467,967322987.6973898,31062.55129217911
"(0, 0, 0)(0, 0, 2, 12)",2139.0622528228128,99.84931495985003,31124.194834652666,968715504.1054196,31085.036155059668
"(0, 0, 0)(0, 1, 0, 6)",-244.1162194575394,5.269487491562304,2168.1609923647084,4700922.088811917,1635.1081631797515
"(0, 0, 0)(0, 1, 0, 12)",-275.82770781363575,5.589927282275323,2206.7871712579804,4869909.619228799,1736.465748311298
"(0, 0, 0)(0, 1, 1, 6)",-281.43534176522854,5.000912906794108,2003.7702172529878,4015095.083550086,1561.292916522127
"(0, 0, 0)(0, 1, 1, 12)",-255.23023465894983,5.208510991318778,2075.5027292520845,4307711.579132851,1624.9125646764512
"(0, 0, 0)(0, 1, 2, 6)",-266.7854485148578,5.373333426373668,2102.713191787784,4421402.766918371,1672.3875908571463
"(0, 0, 0)(1, 0, 0, 6)",-246.3394182031234,5.3208412926002,2183.281943932151,4766720.046700152,1649.8580900232712
"(0, 0, 0)(1, 0, 0, 12)",-278.68677248852015,5.604983402940574,2212.3875209481776,4894658.542847223,1740.6233342214618
"(0, 0, 0)(1, 0, 1, 6)",-301.5119856515002,5.089872028167361,2029.4464013494107,4118652.6959500737,1584.5820251030786
"(0, 0, 0)(1, 0, 1, 12)",-301.40704782564904,5.276941941238372,2090.1742270856466,4368828.29957308,1643.523346500342
"(0, 0, 0)(1, 0, 2, 6)",-274.6568625196852,5.2713799483489705,2083.4079292485903,4340588.599655898,1639.0738606496425
"(0, 0, 0)(1, 0, 2, 12)",-246.3016962226765,5.932421350299851,2290.934239165768,5248379.688182036,1841.3746687100272
"(0, 0, 0)(1, 1, 0, 6)",-287.62164455406594,5.342851676422682,2135.40079020698,4559936.534816596,1659.7000425780209
"(0, 0, 0)(1, 1, 0, 12)",-255.2853990851899,5.976142648643701,2313.060707037346,5350249.834440108,1857.106321926277
"(0, 0, 0)(1, 1, 1, 6)",-289.9267349279067,5.339460460586298,2091.3260663053284,4373644.715608119,1662.9418935855042
"(0, 0, 0)(1, 1, 1, 12)",-252.13442461759047,5.7003230404005905,2229.8618605682104,4972283.917216722,1774.10359562864
"(0, 0, 0)(1, 1, 2, 6)",-281.29997885952275,5.170017145075665,2066.178666085174,4269094.280185509,1612.3042123540515
"(0, 0, 0)(2, 0, 0, 6)",-285.640450153165,5.36031378101581,2140.6933675024375,4582568.093668926,1664.6372708138879
"(0, 0, 0)(2, 0, 0, 12)",-253.50836358318497,6.011742249700243,2324.674802465068,5404112.9372160025,1866.7859373933995
"(0, 0, 0)(2, 0, 1, 6)",-291.24235984558504,5.443147387734762,2130.8647970553397,4540584.783329694,1691.31097616481
"(0, 0, 0)(2, 0, 1, 12)",-256.00377242665627,5.716867386090482,2232.9563680238434,4986094.141498234,1776.8785950387412
"(0, 0, 0)(2, 0, 2, 6)",-298.83478978633383,5.202682967780014,2070.464604343589,4286823.677839655,1620.5772089382308
"(0, 0, 0)(2, 0, 2, 12)",-247.49306622623084,5.643462064477585,2207.43456336889,4872767.351555603,1754.8524168198528
"(0, 0, 0)(2, 1, 0, 6)",-268.6627089189704,5.277715993740157,2099.7277892999045,4408856.789158265,1639.4529286204279
"(0, 0, 0)(2, 1, 0, 12)",-206.10346450134313,5.696291654883866,2226.0352000512676,4955232.711867286,1772.594031469168
"(0, 0, 0)(2, 1, 1, 6)",-273.65669320086664,5.322963944143383,2087.821298847583,4358997.775921608,1657.6760697313164
"(0, 0, 0)(2, 1, 1, 12)",-204.30717027875758,5.717365483160916,2231.2822221612896,4978620.354933023,1778.7563093619674
"(0, 0, 0)(2, 1, 2, 6)",-274.0378223538345,5.211055652051141,2073.0064623764765,4297355.793054634,1625.288183965126
"(0, 0, 1)(0, 0, 0, 6)",512.0908172635841,99.97201765351988,31162.261451978255,971086538.8014499,31123.142697399857
"(0, 0, 1)(0, 0, 0, 12)",512.0908172635841,99.97201765351988,31162.261451978255,971086538.8014499,31123.142697399857
"(0, 0, 1)(0, 0, 1, 6)",392.19294021855245,99.26779866952403,30947.629387697754,957755764.7182937,30904.44048534727
"(0, 0, 1)(0, 0, 1, 12)",440.6689864528614,99.97066649585905,31161.843613203,971060497.3737206,31122.723081945052
"(0, 0, 1)(0, 0, 2, 6)",364.8432573625375,99.23463554631967,30939.1974740106,957233940.3358239,30894.1413474822
"(0, 0, 1)(0, 0, 2, 12)",1887.0733181077358,99.87288262297876,31131.50459540029,969170578.3734294,31092.35532732895
"(0, 0, 1)(0, 1, 0, 6)",-239.25695727050777,5.295376365198027,2181.0340471119025,4756909.514661325,1643.1482104666852
"(0, 0, 1)(0, 1, 0, 12)",-272.78493952289875,5.680344497013803,2249.2181526278937,5058982.298110834,1764.002800333388
"(0, 0, 1)(0, 1, 1, 6)",-277.7573811829126,5.0079596360770156,2006.5395988063403,4026201.1615779093,1563.737210052551
"(0, 0, 1)(0, 1, 1, 12)",-248.89628884547903,5.2377415695971905,2084.5842343302716,4345491.430018324,1634.2970542970522
"(0, 0, 1)(0, 1, 2, 6)",-261.5640235441989,5.410979125061835,2119.142879745751,4490766.544777116,1683.2671922753534
"(0, 0, 1)(1, 0, 0, 6)",-245.6596634276083,5.35028148621049,2197.932496669696,4830907.259916683,1658.9903186805232
"(0, 0, 1)(1, 0, 0, 12)",-278.16032565404055,5.698539110292478,2256.0858495779416,5089923.360665822,1768.98053965001
"(0, 0, 1)(1, 0, 1, 6)",-225.35784279543006,5.454321535666021,2230.129456116772,4973477.391039689,1691.1018715770433
"(0, 0, 1)(1, 0, 1, 12)",-260.2983514128775,5.525035417108948,2183.0886387003,4765876.00442233,1716.0024437182483
"(0, 0, 1)(1, 0, 2, 6)",-258.4617240684397,5.107233577652175,2040.6390312827928,4164207.655994775,1588.6582892630677
"(0, 0, 1)(1, 0, 2, 12)",-234.40020110355243,5.958238607218443,2312.400948210498,5347198.14528481,1848.682076395309
"(0, 0, 1)(1, 1, 0, 6)",-287.02114407168244,5.4263988889123835,2176.8978748291865,4738884.357435829,1685.2538558036601
"(0, 0, 1)(1, 1, 0, 12)",-253.92724339179637,5.990587803803528,2319.521174365846,5380178.478331514,1861.518635893633
"(0, 0, 1)(1, 1, 1, 6)",-286.8775060685218,5.363399999143585,2103.4890718006413,4424666.2751847245,1669.7613966349093
"(0, 0, 1)(1, 1, 1, 12)",-245.67490428120055,5.700749135031331,2231.6599072816957,4980305.9417685475,1774.300842153108
"(0, 0, 1)(1, 1, 2, 6)",-276.2480496418163,5.169016094216238,2071.089438677242,4289411.463000413,1612.1339257711925
"(0, 0, 1)(2, 0, 0, 6)",-285.0771830654078,5.452713525423768,2185.693356386474,4777255.44815197,1692.7953031441232
"(0, 0, 1)(2, 0, 0, 12)",-252.2329833549648,6.028065592119409,2332.20600490603,5439184.849319746,1871.7838246255499
"(0, 0, 1)(2, 0, 1, 6)",-276.960271710112,5.549031464187412,2250.217105942353,5063477.023875579,1724.632188257064
"(0, 0, 1)(2, 0, 1, 12)",-246.24000340800274,5.9408628788544915,2302.7645728587845,5302724.6780135,1844.6817271739299
